config,image_weight,text_weight,query,rank,creator,score,relevant
text_only,0.0,1.0,fashion,4,filhadorei539,0.8295,0
text_only,0.0,1.0,fashion,5,puppy16hp,0.8264,0
text_only,0.0,1.0,fashion,6,malek.hac,0.8256,0
text_only,0.0,1.0,fashion,7,cotrim13d,0.8239,0
text_only,0.0,1.0,fashion,8,silvanarm_,0.8238,0
text_only,0.0,1.0,fashion,9,wyamarce,0.8226,0
text_only,0.0,1.0,fashion,10,rakibuddin493,0.8224,0
text_only,0.0,1.0,tech,1,1amnotjamaila,0.8822,0
text_only,0.0,1.0,tech,2,drareejzulfiqar,0.8728,0
text_only,0.0,1.0,tech,3,ridukushmidahit,0.8721,0
text_only,0.0,1.0,tech,4,filhadorei539,0.8625,0
text_only,0.0,1.0,tech,5,carrieberkk,0.8604,0
text_only,0.0,1.0,tech,6,laurenlovelessss,0.856,0
text_only,0.0,1.0,tech,7,lea_navvab,0.8526,0
text_only,0.0,1.0,tech,8,wiambaashar1,0.8514,0
text_only,0.0,1.0,tech,9,bnkteamhihi,0.8506,0
text_only,0.0,1.0,tech,10,barsha.panday4,0.849,0
50_50,0.5,0.5,makeup,1,alliecatcosplay,0.6926,0
50_50,0.5,0.5,makeup,2,filhadorei539,0.6889,0
50_50,0.5,0.5,makeup,3,da.rafiki,0.6887,0
50_50,0.5,0.5,makeup,4,pjfperformance,0.6869,0
50_50,0.5,0.5,makeup,5,carrieberkk,0.6865,0
50_50,0.5,0.5,makeup,6,stephanyandrea,0.6854,0
50_50,0.5,0.5,makeup,7,ridukushmidahit,0.6853,0
50_50,0.5,0.5,makeup,8,goateebeardcare,0.6846,0
50_50,0.5,0.5,makeup,9,wiambaashar1,0.6837,0
50_50,0.5,0.5,makeup,10,drareejzulfiqar,0.6814,0
50_50,0.5,0.5,fitness,1,pjfperformance,0.7411,0
50_50,0.5,0.5,fitness,2,alansleftnu,0.7148,0
50_50,0.5,0.5,fitness,3,cotrim13d,0.7097,0
50_50,0.5,0.5,fitness,4,alyseee_xofit,0.7056,1
50_50,0.5,0.5,fitness,5,da.rafiki,0.7053,0
50_50,0.5,0.5,fitness,6,goateebeardcare,0.7042,0
50_50,0.5,0.5,fitness,7,diaryoflalalindseay,0.703,1
50_50,0.5,0.5,fitness,8,tashaeliett,0.7016,1
50_50,0.5,0.5,fitness,9,falaserionedani,0.6999,0
50_50,0.5,0.5,fitness,10,aianajuarezofficial,0.699,0
