workers,videos,s1_avg,s2_avg,s3_avg,total_s,speedup
4,20,7.49,1.7,0.79,51.43,1.0
6,20,6.67,2.09,0.78,48.05,1.07
8,20,6.72,1.99,0.69,44.13,1.17
