cpu_workers,videos,stage2_avg_s,stage3_avg_s,total_wall_s,speedup,avg_cpu_pct
1,10,8.33,1.38,96.24,1.0,31.2
2,10,8.77,0.99,55.28,1.74,21.6
4,10,9.86,1.13,39.57,2.43,18.5
8,10,11.72,1.14,41.46,2.32,54.8
1,20,6.72,0.8,142.06,1.0,23.8
2,20,7.23,0.75,82.11,1.73,11.4
4,20,9.46,0.77,62.41,2.28,22.8
8,20,12.4,0.71,58.02,2.45,46.7
1,30,6.34,0.57,195.01,1.0,26.9
2,30,7.96,0.58,138.02,1.41,23.4
4,30,9.0,0.62,92.29,2.11,34.0
8,30,11.87,0.64,87.21,2.24,50.4
