threshold,n_videos,female,male,balance_score,combined_score
0.7,704,395,309,0.7823,20.7562
0.75,697,392,305,0.7781,20.5414
0.8,687,384,303,0.7891,20.6819
0.85,677,377,300,0.7958,20.705
0.9,666,370,296,0.8,20.6456
0.95,646,360,286,0.7944,20.192
