config,image_weight,text_weight,query,rank,creator,score,relevant
text_only,0.0,1.0,fashion,4,alabialasela4,0.8787,0
text_only,0.0,1.0,fashion,5,popsiclemaker_,0.8729,0
text_only,0.0,1.0,fashion,6,hanji_gaming,0.8688,0
text_only,0.0,1.0,fashion,7,crazydaisymiami21,0.8631,0
text_only,0.0,1.0,fashion,8,colleeneferrer,0.8604,0
text_only,0.0,1.0,fashion,9,dr.jessy09,0.8587,1
text_only,0.0,1.0,fashion,10,rojruay2465,0.8554,0
text_only,0.0,1.0,tech,1,bishopmbengue,0.9135,0
text_only,0.0,1.0,tech,2,aianajuarezofficial,0.904,0
text_only,0.0,1.0,tech,3,alabialasela4,0.9032,0
text_only,0.0,1.0,tech,4,hanji_gaming,0.8891,0
text_only,0.0,1.0,tech,5,popsiclemaker_,0.8884,0
text_only,0.0,1.0,tech,6,crazydaisymiami21,0.8857,0
text_only,0.0,1.0,tech,7,jadou_2528,0.8779,0
text_only,0.0,1.0,tech,8,rojruay2465,0.8777,0
text_only,0.0,1.0,tech,9,andrew_campen,0.8749,0
text_only,0.0,1.0,tech,10,chandrika_keralam,0.8724,0
50_50,0.5,0.5,makeup,1,crazydaisymiami21,0.7203,0
50_50,0.5,0.5,makeup,2,aianajuarezofficial,0.718,0
50_50,0.5,0.5,makeup,3,alicia.s5000,0.7179,0
50_50,0.5,0.5,makeup,4,bishopmbengue,0.716,0
50_50,0.5,0.5,makeup,5,mattisoncurtlynn,0.7104,0
50_50,0.5,0.5,makeup,6,popsiclemaker_,0.7097,0
50_50,0.5,0.5,makeup,7,rojruay2465,0.7095,0
50_50,0.5,0.5,makeup,8,cboston16,0.7069,0
50_50,0.5,0.5,makeup,9,sydnie_green,0.705,0
50_50,0.5,0.5,makeup,10,alabialasela4,0.7029,0
50_50,0.5,0.5,fitness,1,aianajuarezofficial,0.7627,0
50_50,0.5,0.5,fitness,2,bishopmbengue,0.7516,0
50_50,0.5,0.5,fitness,3,crazydaisymiami21,0.7459,0
50_50,0.5,0.5,fitness,4,popsiclemaker_,0.743,0
50_50,0.5,0.5,fitness,5,rojruay2465,0.741,0
50_50,0.5,0.5,fitness,6,andrew_campen,0.7376,0
50_50,0.5,0.5,fitness,7,mattisoncurtlynn,0.7356,0
50_50,0.5,0.5,fitness,8,alabialasela4,0.7308,0
50_50,0.5,0.5,fitness,9,alicia.s5000,0.7278,0
50_50,0.5,0.5,fitness,10,cboston16,0.7243,0
50_50,0.5,0.5,cooking,1,aianajuarezofficial,0.7495,0
50_50,0.5,0.5,cooking,2,bishopmbengue,0.7439,0
50_50,0.5,0.5,cooking,3,popsiclemaker_,0.7422,1
50_50,0.5,0.5,cooking,4,mattisoncurtlynn,0.7418,0
50_50,0.5,0.5,cooking,5,crazydaisymiami21,0.7417,0
50_50,0.5,0.5,cooking,6,alabialasela4,0.7356,0
50_50,0.5,0.5,cooking,7,rojruay2465,0.7315,0
50_50,0.5,0.5,cooking,8,soytonyet,0.7307,0
50_50,0.5,0.5,cooking,9,alicia.s5000,0.7298,0
50_50,0.5,0.5,cooking,10,em1loba,0.7248,0
50_50,0.5,0.5,fashion,1,crazydaisymiami21,0.775,0
